MUNICIPIO;COREDE;CODUFMUN;AREA_KM2
Alto Alegre;Alto da Serra do Botucaraí;4300554;114,445
Barros Cassal;Alto da Serra do Botucaraí;4302006;648,896
Campos Borges;Alto da Serra do Botucaraí;4304101;226,578
Espumoso;Alto da Serra do Botucaraí;4307500;783,065
Fontoura Xavier;Alto da Serra do Botucaraí;4308300;583,465
Gramado Xavier;Alto da Serra do Botucaraí;4309159;217,525
Ibirapuitã;Alto da Serra do Botucaraí;4309951;307,029
Itapuca;Alto da Serra do Botucaraí;4310579;184,249
Jacuizinho;Alto da Serra do Botucaraí;4310876;338,535
Lagoão;Alto da Serra do Botucaraí;4311254;386,956
Mormaço;Alto da Serra do Botucaraí;4312427;146,109
Nicolau Vergueiro;Alto da Serra do Botucaraí;4312674;155,82
São José do Herval;Alto da Serra do Botucaraí;4318465;103,094
Soledade;Alto da Serra do Botucaraí;4320800;1213,41
Tio Hugo;Alto da Serra do Botucaraí;4321469;114,236
Victor Graeff;Alto da Serra do Botucaraí;4323200;238,273
Boa Vista do Cadeado;Alto Jacuí;4302220;701,102
Boa Vista do Incra;Alto Jacuí;4302238;503,471
Colorado;Alto Jacuí;4305603;285,262
Cruz Alta;Alto Jacuí;4306106;1360,37
Fortaleza dos Valos;Alto Jacuí;4308458;650,326
Ibirubá;Alto Jacuí;4310009;607,454
Lagoa dos Três Cantos;Alto Jacuí;4311270;138,635
Não-Me-Toque;Alto Jacuí;4312658;361,671
Quinze de Novembro;Alto Jacuí;4315354;223,638
Saldanha Marinho;Alto Jacuí;4316436;221,605
Salto do Jacuí;Alto Jacuí;4316451;507,423
Santa Bárbara do Sul;Alto Jacuí;4316709;975,507
Selbach;Alto Jacuí;4320305;177,642
Tapera;Alto Jacuí;4321006;179,662
Aceguá;Campanha;4300034;1549,383
Bagé;Campanha;4301602;4095,534
Caçapava do Sul;Campanha;4302808;3047,113
Candiota;Campanha;4304358;933,834
Dom Pedrito;Campanha;4306601;5192,095
Hulha Negra;Campanha;4309654;822,899
Lavras do Sul;Campanha;4311502;2600,6
André da Rocha;Campos de Cima da Serra;4300661;324,326
Bom Jesus;Campos de Cima da Serra;4302303;2624,671
Campestre da Serra;Campos de Cima da Serra;4303673;538
Esmeralda;Campos de Cima da Serra;4307401;829,766
Ipê;Campos de Cima da Serra;4310439;599,247
Monte Alegre dos Campos;Campos de Cima da Serra;4312377;549,74
Muitos Capões;Campos de Cima da Serra;4312617;1197,931
Pinhal da Serra;Campos de Cima da Serra;4314464;437,995
São José dos Ausentes;Campos de Cima da Serra;4318622;1173,947
Vacaria;Campos de Cima da Serra;4322509;2124,582
Barra do Guarita;Celeiro;4301859;64,378
Bom Progresso;Celeiro;4302378;88,741
Braga;Celeiro;4302600;128,992
Campo Novo;Celeiro;4304002;222,073
Chiapetta;Celeiro;4305405;396,551
Coronel Bicaco;Celeiro;4305900;492,124
Crissiumal;Celeiro;4306007;362,15
