CODUFMUN;CO_REGSAUD;REG_SAUDE
430010;43001;01 Verdes Campos
430637;43001;01 Verdes Campos
430670;43001;01 Verdes Campos
430800;43001;01 Verdes Campos
430840;43001;01 Verdes Campos
431053;43001;01 Verdes Campos
431075;43001;01 Verdes Campos
431120;43001;01 Verdes Campos
431310;43001;01 Verdes Campos
431402;43001;01 Verdes Campos
431447;43001;01 Verdes Campos
431532;43001;01 Verdes Campos
431550;43001;01 Verdes Campos
431690;43001;01 Verdes Campos
431843;43001;01 Verdes Campos
431912;43001;01 Verdes Campos
431940;43001;01 Verdes Campos
431960;43001;01 Verdes Campos
432065;43001;01 Verdes Campos
432149;43001;01 Verdes Campos
432345;43001;01 Verdes Campos
430290;43002;02 Entre Rios
430465;43002;02 Entre Rios
431055;43002;02 Entre Rios
431110;43002;02 Entre Rios
431113;43002;02 Entre Rios
431210;43002;02 Entre Rios
431303;43002;02 Entre Rios
431740;43002;02 Entre Rios
431810;43002;02 Entre Rios
431980;43002;02 Entre Rios
432237;43002;02 Entre Rios
430040;43003;03 Fronteira Oeste
430187;43003;03 Fronteira Oeste
431060;43003;03 Fronteira Oeste
431171;43003;03 Fronteira Oeste
431175;43003;03 Fronteira Oeste
431530;43003;03 Fronteira Oeste
431640;43003;03 Fronteira Oeste
431697;43003;03 Fronteira Oeste
431710;43003;03 Fronteira Oeste
431830;43003;03 Fronteira Oeste
432240;43003;03 Fronteira Oeste
430105;43004;04 Belas Praias
430463;43004;04 Belas Praias
430655;43004;04 Belas Praias
431065;43004;04 Belas Praias
431173;43004;04 Belas Praias
431177;43004;04 Belas Praias
431244;43004;04 Belas Praias
432143;43004;04 Belas Praias
432150;43004;04 Belas Praias
432166;43004;04 Belas Praias
432183;43004;04 Belas Praias
432380;43004;04 Belas Praias
430163;43005;05 Bons Ventos
430467;43005;05 Bons Ventos
430471;43005;05 Bons Ventos
430545;43005;05 Bons Ventos
431033;43005;05 Bons Ventos
431250;43005;05 Bons Ventos
431350;43005;05 Bons Ventos
431365;43005;05 Bons Ventos
431760;43005;05 Bons Ventos
432135;43005;05 Bons Ventos
432160;43005;05 Bons Ventos
430360;43006;06 V.Paranhana/C. Serra
431010;43006;06 V.Paranhana/C. Serra
431405;43006;06 V.Paranhana/C. Serra
431575;43006;06 V.Paranhana/C. Serra
431600;43006;06 V.Paranhana/C. Serra
431820;43006;06 V.Paranhana/C. Serra
432120;43006;06 V.Paranhana/C. Serra
432170;43006;06 V.Paranhana/C. Serra
430087;43007;07 Vale dos Sinos
430390;43007;07 Vale dos Sinos
430640;43007;07 Vale dos Sinos
430760;43007;07 Vale dos Sinos
431080;43007;07 Vale dos Sinos
431162;43007;07 Vale dos Sinos
431247;43007;07 Vale dos Sinos
431306;43007;07 Vale dos Sinos
