MUNICIPIO;RF
Aceguá;RF6
Água Santa;RF9
Agudo;RF8
Ajuricaba;RF7
Alecrim;RF7
Alegrete;RF6
Alegria;RF7
Almirante Tamandaré do Sul;RF9
Alpestre;RF9
Alto Alegre;RF9
Alto Feliz;RF1
Alvorada;RF1
Amaral Ferrador;RF5
Ametista do Sul;RF9
André da Rocha;RF3
Anta Gorda;RF2
Antônio Prado;RF3
Arambaré;RF1
Araricá;RF1
Aratiba;RF9
Arroio do Meio;RF2
Arroio do Padre;RF5
Arroio do Sal;RF4
Arroio do Tigre;RF2
Arroio dos Ratos;RF1
Arroio Grande;RF5
Arvorezinha;RF2
Augusto Pestana;RF7
Áurea;RF9
Bagé;RF6
Balneário Pinhal;RF4
Barão;RF1
Barão de Cotegipe;RF9
Barão do Triunfo;RF1
Barra do Guarita;RF7
Barra do Quaraí;RF6
Barra do Ribeiro;RF1
Barra do Rio Azul;RF9
Barra Funda;RF9
Barracão;RF9
Barros Cassal;RF9
Benjamin Constant do Sul;RF9
Bento Gonçalves;RF3
Boa Vista das Missões;RF9
Boa Vista do Buricá;RF7
Boa Vista do Cadeado;RF8
Boa Vista do Incra;RF8
Boa Vista do Sul;RF3
Bom Jesus;RF3
Bom Princípio;RF1
Bom Progresso;RF7
Bom Retiro do Sul;RF2
Boqueirão do Leão;RF2
Bossoroca;RF7
Bozano;RF7
Braga;RF7
Brochier;RF1
Butiá;RF1
Caçapava do Sul;RF6
Cacequi;RF8
Cachoeira do Sul;RF8
Cachoeirinha;RF1
Cacique Doble;RF9
Caibaté;RF7
Caiçara;RF9
Camaquã;RF1
Camargo;RF9
Cambará do Sul;RF3
Campestre da Serra;RF3
Campina das Missões;RF7
Campinas do Sul;RF9
Campo Bom;RF1
Campo Novo;RF7
Campos Borges;RF9
Candelária;RF2
Cândido Godói;RF7
Candiota;RF6
Canela;RF3
Canguçu;RF5
Canoas;RF1
Canudos do Vale;RF2
Capão Bonito do Sul;RF9
Capão da Canoa;RF4
Capão do Cipó;RF8
Capão do Leão;RF5
Capela de Santana;RF1
Capitão;RF2
Capivari do Sul;RF4
Caraá;RF4
Carazinho;RF9
Carlos Barbosa;RF3
Carlos Gomes;RF9
Casca;RF9
Caseiros;RF9
Catuípe;RF7
Caxias do Sul;RF3
Centenário;RF9
Cerrito;RF5
Cerro Branco;RF8
Cerro Grande;RF9
Cerro Grande do Sul;RF1
Cerro Largo;RF7
Chapada;RF9
Charqueadas;RF1
Charrua;RF9
Chiapetta;RF7
Chuí;RF5
Chuvisca;RF1
Cidreira;RF4
Ciríaco;RF9
Colinas;RF2
Colorado;RF8
Condor;RF7
Constantina;RF9
Coqueiro Baixo;RF2
Coqueiros do Sul;RF9
Coronel Barros;RF7
Coronel Bicaco;RF7
Coronel Pilar;RF3
Cotiporã;RF3
Coxilha;RF9
Crissiumal;RF7
Cristal;RF1
Cristal do Sul;RF9
Cruz Alta;RF8
Cruzaltense;RF9
Cruzeiro do Sul;RF2
David Canabarro;RF9
Derrubadas;RF7
Dezesseis de Novembro;RF7
Dilermando de Aguiar;RF8
Dois Irmãos;RF1
Dois Irmãos das Missões;RF9
Dois Lajeados;RF2
Dom Feliciano;RF1
Dom Pedrito;RF6
Dom Pedro de Alcântara;RF4
Dona Francisca;RF8
Doutor Maurício Cardoso;RF7
Doutor Ricardo;RF2
Eldorado do Sul;RF1
Encantado;RF2
Encruzilhada do Sul;RF2
Engenho Velho;RF9
Entre Rios do Sul;RF9
Entre-Ijuís;RF7
Erebango;RF9
Erechim;RF9
Ernestina;RF9
Erval Grande;RF9
Erval Seco;RF9
Esmeralda;RF3
Esperança do Sul;RF7
Espumoso;RF9
Estação;RF9
Estância Velha;RF1
Esteio;RF1
Estrela;RF2
Estrela Velha;RF2
Eugênio de Castro;RF7
Fagundes Varela;RF3
Farroupilha;RF3
Faxinal do Soturno;RF8
